Organization,Availability,Division,SystemType,Platform,Model,MlperfModel,Scenario,Result,Accuracy,number_of_nodes,host_processor_model_name,host_processors_per_node,host_processor_core_count,accelerator_model_name,accelerators_per_node,Location,framework,operating_system,notes
Xilinx_and_Mipsology,available,closed,datacenter,Xilinx_U250_with_Mipsology_Zebra,resnet50,resnet,Server,4096.32,75.754,1,Intel(R) Core(TM) i7-9700K,1,8,Xilinx Alveo U250 & Mipsology Zebra 2020.03,1,closed/Xilinx_and_Mipsology/results/Xilinx_U250_with_Mipsology_Zebra/resnet50/server,"Mipsology Zebra V2020.03 & TensorFlow 1.14",ubuntu-18.04,""
Xilinx_and_Mipsology,available,closed,datacenter,Xilinx_U250_with_Mipsology_Zebra,resnet50,resnet,Offline,5011.29,75.844,1,Intel(R) Core(TM) i7-9700K,1,8,Xilinx Alveo U250 & Mipsology Zebra 2020.03,1,closed/Xilinx_and_Mipsology/results/Xilinx_U250_with_Mipsology_Zebra/resnet50/offline,"Mipsology Zebra V2020.03 & TensorFlow 1.14",ubuntu-18.04,""
